0	hide new secretions from the parental units
0	contains no wit , only labored gags
1	that loves its characters and communicates something rather beautiful about human nature
0	remains utterly satisfied to remain the same throughout
0	on the worst revenge-of-the-nerds clichés the filmmakers could dredge up
0	that 's far too tragic to merit such superficial treatment
1	demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop .
1	of saucy
0	a depressed fifteen-year-old 's suicidal poetry
1	are more deeply thought through than in most ` right-thinking ' films
0	goes to absurd lengths
0	for those moviegoers who complain that ` they do n't make movies like they used to anymore
0	the part where nothing 's happening ,
0	saw how bad this movie was
0	lend some dignity to a dumb story
1	the greatest musicians
0	cold movie
1	with his usual intelligence and subtlety
0	redundant concept
1	swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds .
1	equals the original and in some ways even betters it
1	if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick .
1	a smile on your face
1	comes from the brave , uninhibited performances
0	excruciatingly unfunny and pitifully unromantic
1	enriched by an imaginatively mixed cast of antic spirits
0	which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening
1	in world cinema
1	very good viewing alternative
0	the plot is nothing but boilerplate clichés from start to finish ,
0	the action is stilted
1	on all cylinders
0	will find little of interest in this film , which is often preachy and poorly acted
0	by far the worst movie of the year
0	sit through ,
1	more than another `` best man '' clone by weaving a theme throughout this funny film
1	it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline
1	heroes
0	oblivious to the existence of this film
1	sharply
0	the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .
0	sometimes dry
0	as they come , already having been recycled more times than i 'd care to count
1	covers this territory with wit and originality , suggesting that with his fourth feature
0	a $ 40 million version of a game
1	gorgeous and deceptively minimalist
1	cross swords with the best of them and
0	as a fringe feminist conspiracy theorist
1	proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .
0	disappointments
0	the horrors
1	a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .
0	many pointless
1	a beautifully
0	contrived , well-worn situations
0	a doa
0	poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions .
1	to be as subtle and touching as the son 's room
1	starts with a legend
0	far less sophisticated and
1	rich veins of funny stuff in this movie
0	no apparent joy
0	shot on ugly digital video
0	... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? ''
0	though ford and neeson capably hold our interest , but its just not a thrilling movie
1	is pretty damned funny .
0	we never feel anything for these characters
0	's a lousy one at that
0	the corporate circus that is the recording industry in the current climate of mergers and downsizing
1	the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .
0	of the most highly-praised disappointments i
0	sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy .
1	seem fresh
0	to the dustbin of history
0	as a director , eastwood is off his game
1	pays earnest homage to turntablists
0	weak and
0	skip this dreck ,
0	contains very few laughs and even less surprises
1	film to affirm love 's power to help people endure almost unimaginable horror
1	are an absolute joy
1	generates
1	, like life , is n't much fun without the highs and lows
1	based on a true and historically significant story
1	well-rounded tribute
0	, though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .
1	so much like a young robert deniro
1	khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .
1	fashioning an engrossing entertainment out
1	spiffy animated feature
0	that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer
1	alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life
0	strung-together moments
1	, generous and subversive artworks
1	it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world
1	funny yet
0	overbearing and over-the-top
1	it 's robert duvall !
1	rich and sudden wisdom
1	acted and directed , it 's clear that washington most certainly has a new career ahead of him
1	in memory
1	respectable new one
0	yet this grating showcase
1	hate to tear your eyes away from the images long enough to read the subtitles
0	addition to sporting one of the worst titles in recent cinematic history
1	, this gender-bending comedy is generally quite funny .
0	build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year
0	do n't work in concert
1	the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal .
1	would have liked it more if it had just gone that one step further
0	it 's too harsh to work as a piece of storytelling ,
1	hawaiian shirt
1	takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .
1	provide its keenest pleasures
0	altogether too slight to be called any kind of masterpiece
0	grievous but
0	after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .
0	hopeless
1	unpretentious , charming , quirky , original
0	nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try .
1	very well-written and very well-acted .
0	are n't many conclusive answers in the film
0	clumsy dialogue , heavy-handed phoney-feeling sentiment ,
0	proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .
1	bring tissues .
0	the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work .
1	brings the proper conviction to his role as ( jason bourne ) .
1	as a young woman of great charm , generosity and diplomacy
1	there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .
0	just too silly
1	cinematic bon bons
0	it is supremely unfunny and unentertaining to watch middle-age and
1	a lively and engaging examination of how similar obsessions can dominate a family .
0	irritates and
0	collapse
1	so many of the challenges it poses for itself that one can forgive the film its flaws
1	, it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .
1	wide-awake all the way through
0	( vainly , i think )
0	is one big excuse to play one lewd scene after another .
1	is effective if you stick with it
1	that underscore the importance of family tradition and familial community
1	delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans
0	watching this digital-effects-heavy , supposed family-friendly comedy
0	absolutely and completely ridiculous and
1	's a very tasteful rock and roll movie .
0	the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .
1	realistic portrayal
0	as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story
1	well-thought stunts or
1	reveals how important our special talents can be when put in service of of others .
0	no lika da
1	a welcome relief
1	the promise of digital filmmaking
0	just one that could easily wait for your pay per view dollar
0	justify a theatrical simulation of the death camp of auschwitz ii-birkenau
1	extraordinary faith
1	have i seen a film so willing to champion the fallibility of the human heart
1	, sometimes beautiful adaptation
0	about as interesting
1	caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .
0	overlong , and bombastic
0	derivative and hammily
1	most audacious , outrageous ,
1	at its best moments
0	disney again ransacks its archives for a quick-buck sequel .
1	that final , beautiful scene
1	some movies suck you in despite their flaws ,
1	eats , meddles , argues , laughs , kibbitzes and fights
0	the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .
1	, compelling
1	infectiously
1	the picture runs a mere 84 minutes , but it 's no glance .
0	think of this dog of a movie
1	's remarkable procession of sweeping pictures that have reinvigorated the romance genre .
0	those so-so films that could have been much better
1	a passable date film
1	imax in short
0	i hate it .
1	's pleasant enough -- and oozing with attractive men
0	no one involved , save dash , shows the slightest aptitude for acting
0	in this wildly uneven movie
1	pokes , provokes , takes expressionistic license
0	like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it
1	with color and depth , and rather a good time
1	silly , outrageous , ingenious
0	being able to hit on a 15-year old when you 're over 100
0	the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .
1	the year 's best and most unpredictable comedy
0	starts off so bad that you feel like running out screaming
0	men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .
1	elvira fans could hardly ask for more .
1	a good one
0	, plodding picture
0	the character dramas , which never reach satisfying conclusions
0	lost in the translation this time
1	speak for it while it forces you to ponder anew what a movie can be
1	enables shafer to navigate spaces both large ... and small ... with considerable aplomb
0	a plot cobbled together from largely flat and uncreative moments
0	inane and awful
0	told in scattered fashion
1	takes chances that are bold by studio standards
0	believe it or not , jason actually takes a backseat in his own film to special effects
0	only thing to fear about `` fear dot com ''
0	whole mess
1	manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor
1	working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .
0	a résumé loaded with credits like `` girl in bar # 3
1	enjoy the ride
0	very little to add beyond the dark visions already relayed by superb recent predecessors
0	the , yes , snail-like pacing
0	an extremely unpleasant film .
1	if it is n't entirely persuasive , it does give exposure to some talented performers
0	the whole affair , true story or not , feels incredibly hokey ...
0	are all things we 've seen before
1	poignant and leavened
1	breathless anticipation
1	significantly better
0	as predictable as the tides
1	bewilderingly brilliant and entertaining
1	it 's smooth and professional
0	, unassuming , subordinate
0	the horror
1	a technically superb film
1	the positive change in tone here seems to have recharged him .
1	pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators
0	a dim
0	, vicious and absurd
0	because he acts so goofy all the time
1	to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside
1	's at once laughable and compulsively watchable ,
1	merit its 103-minute length
1	the value and respect for the term epic cinema
0	as a dentist 's waiting room
1	showing honest emotions
0	amazingly lame .
0	confessions may not be a straightforward bio
0	seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little
0	the story is bogus and
1	this comic gem is as delightful as it is derivative .
1	to spare wildlife
0	ugly as the shabby digital photography
0	understand the difference between dumb fun and just plain dumb
1	traditionally structured
0	frida is n't that much different from many a hollywood romance .
1	does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets .
1	are worth the price of admission ... if `` gory mayhem '' is your idea of a good time
0	was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one )
0	carnage and
0	degraded , handheld blair witch video-cam footage
0	second fiddle
0	about the folly of superficiality that is itself
0	serves as auto-critique , and its clumsiness as its own most damning censure .
0	tedious norwegian offering which somehow snagged an oscar nomination .
0	, esther kahn is unusual but unfortunately also irritating .
1	a stylish exercise
0	halfway through this picture i was beginning to hate it
0	a setup so easy it borders on facile
0	a thoroughly awful movie
1	takes hold and grips hard
0	look smeary and blurry , to the point of distraction
1	the picture 's fascinating byways
0	guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves
0	breezy , distracted rhythms
0	than this mess
1	evanescent , seamless and sumptuous stream
1	slick and manufactured to claim street credibility .
1	take care is nicely performed by a quintet of actresses ,
1	valuable messages
1	in no small part thanks to lau
0	two guys who desperately want to be quentin tarantino when they grow up
0	no new plot conceptions
0	essentially a collection of bits --
0	does n't bode well for the rest of it
1	elevated by it -- the kind of movie
0	usual worst
1	hugh grant , who has a good line in charm
1	arrive early and stay late
1	is a pan-american movie , with moments of genuine insight into the urban heart .
0	i could have used my two hours better watching being john malkovich again .
1	shot in artful , watery tones of blue , green and brown
1	an unorthodox little film noir organized crime story that includes one of the strangest
1	considerable aplomb
1	acted by diane lane and richard gere .
0	scant
1	an admittedly middling film
0	too ludicrous
1	the rock 's fighting skills are more in line with steven seagal
1	rich and full
1	warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .
1	that uses a sensational , real-life 19th-century crime as a metaphor for
1	, home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .
1	, the film retains ambiguities that make it well worth watching .
0	ultra-cheesy dialogue
1	added depth and resonance
1	the sensational
1	huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them
0	handsome but unfulfilling suspense drama
0	's not very good either .
0	in her most charmless
1	makes an unusual but pleasantly haunting debut behind the camera .
1	a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .
0	everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way .
1	the cast is spot on and
0	ugly digital video
1	can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history
0	rather choppy
0	becomes one more dumb high school comedy about sex gags and prom dates
1	demands and receives excellent performances
1	xxx is a blast of adrenalin ,
1	pure escapism
1	create a film that 's not merely about kicking undead ***
1	about love and culture
0	is worse :
0	horrifying
0	mourns her tragedies in private
0	the action scenes are poorly delivered
0	it 's so bad
0	so bad
1	, 84 minutes is short
0	dabbles all around , never gaining much momentum
1	a masterpiece
1	a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth
0	does n't leave you with much .
1	good acting
1	like most of jaglom 's films , some of it is honestly affecting
0	marivaux 's rhythms , and mira sorvino 's limitations as a classical actress
0	is less successful on other levels
1	's still quite worth seeing
1	intelligent and moving .
0	he appears miserable throughout as he swaggers through his scenes
1	men
1	accomplish what few sequels can
0	a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker
0	i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening
1	exhilarating , funny and fun .
1	bound to appeal to women looking for a howlingly trashy time
0	, it never quite makes the grade as tawdry trash .
1	has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .
1	endearing , caring
1	seagal , who looks more like danny aiello these days
0	enactments , however fascinating they may be as history , are too crude to serve the work especially well .
1	not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker
0	the dehumanizing and ego-destroying process
0	taboo subject matter
1	see this
0	utterly incompetent conclusion
1	has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ...
1	you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her
0	run for cover
0	low budget
1	a deceptively casual ode
0	walked out muttering words like `` horrible '' and `` terrible , ''
1	help chicago make the transition from stage to screen with considerable appeal intact
1	you have ellen pompeo sitting next to you for the ride
0	a giant step backward
1	true fans
0	just copies
1	quite rich and exciting
1	luminous interviews and amazingly evocative film from three decades ago
0	from lynch , jeunet , and von trier while failing to find a spark of its own
1	, you ca n't help but get caught up in the thrill of the company 's astonishing growth .
0	this frozen tundra soap opera
1	a showdown
0	is simply too overdone
1	greatly
1	free
1	intriguing species
0	try and evade
1	scherfig , who has had a successful career in tv
1	watching it leaves you giddy
1	beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses .
0	far tamer
1	outrageously creative action
1	the most purely enjoyable and satisfying evenings
0	is never any question of how things will turn out
0	only open new wounds
0	despite suffering a sense-of-humour failure
1	for a story
1	in addition to hoffman 's powerful acting clinic
1	right stuff
1	the wonderful cinematography and naturalistic acting
1	high-concept films
0	sleepwalk through vulgarities in a sequel you can refuse
0	with no reason for being
0	just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .
1	invigorating , surreal , and resonant
1	the chateau , a sense of light-heartedness , that makes it attractive throughout
1	have a passion for the material
1	maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .
0	a movie that ca n't get sufficient distance from leroy 's
1	romanticized rendering
1	is terrific as rachel
0	of special effects that run the gamut from cheesy to cheesier to cheesiest
0	the worst film a man has made about women since valley of the dolls
0	come , already having been recycled more times than i 'd care to count
1	with awe
1	joyous romp of a film .
1	a nonstop hoot
0	, partisans and sabotage
0	gory as the scenes of torture and self-mutilation
1	just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart
1	ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .
0	the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .
0	this obscenely bad dark comedy , so crass
